time	V(n003)
6.497564210112905e-004	-9.994265e-001
6.503078160641071e-004	-1.003494e+000
6.512607652011118e-004	-1.016640e+000
6.517820962444143e-004	-1.014591e+000
6.523080185468756e-004	-1.010777e+000
6.527940127716070e-004	-1.012686e+000
6.533063274259379e-004	-1.020824e+000
6.537420080378283e-004	-1.026582e+000
6.542647068028865e-004	-1.026550e+000
6.551920011786145e-004	-1.021721e+000
6.557164334737785e-004	-1.027987e+000
6.562173831632411e-004	-1.035780e+000
6.566642845850589e-004	-1.038302e+000
6.571470992305322e-004	-1.035141e+000
6.575735751847194e-004	-1.032246e+000
6.580419214307330e-004	-1.034460e+000
6.585288296768635e-004	-1.041962e+000
6.589249688916858e-004	-1.047189e+000
6.594398325303326e-004	-1.047791e+000
6.599084272659467e-004	-1.044088e+000
6.602845538369988e-004	-1.042568e+000
6.608058729136782e-004	-1.046888e+000
6.617240437467914e-004	-1.058458e+000
6.622090743674417e-004	-1.057092e+000
6.626945145819670e-004	-1.053451e+000
6.631165495873476e-004	-1.053510e+000
6.635886810786744e-004	-1.059111e+000
6.643859015041881e-004	-1.068445e+000
6.648288977174764e-004	-1.066826e+000
6.656160074008982e-004	-1.062784e+000
6.660688965640061e-004	-1.067104e+000
6.668777744825370e-004	-1.077428e+000
6.673244616108557e-004	-1.076922e+000
6.682647525162480e-004	-1.072684e+000
6.687274723572684e-004	-1.077006e+000
6.695505296748969e-004	-1.086843e+000
6.699842757657025e-004	-1.086181e+000
6.709325269752349e-004	-1.082216e+000
6.713779099886934e-004	-1.086292e+000
6.721574922719693e-004	-1.095682e+000
6.725769812645596e-004	-1.095497e+000
6.730610643406423e-004	-1.092289e+000
6.734288598179329e-004	-1.091001e+000
6.738728970680279e-004	-1.093630e+000
6.743192016565183e-004	-1.099438e+000
6.750341467042957e-004	-1.104765e+000
6.754461687391130e-004	-1.102889e+000
6.760779160626481e-004	-1.099672e+000
6.764805938897432e-004	-1.102172e+000
6.770110831051924e-004	-1.108582e+000
6.773979873890411e-004	-1.112245e+000
