time	V(n003)
5.522044904076675e-003	-1.955876e-001
5.522771296786811e-003	-1.942832e-001
5.523373429891190e-003	-2.047598e-001
5.524100479323312e-003	-2.217972e-001
5.524852925251016e-003	-2.294665e-001
5.525564370089006e-003	-2.264632e-001
5.526320799446993e-003	-2.240552e-001
5.526946338364079e-003	-2.308165e-001
5.527822389884263e-003	-2.467825e-001
5.528670813278748e-003	-2.549770e-001
5.529443747458548e-003	-2.544702e-001
5.530307725204807e-003	-2.560067e-001
5.531047609395488e-003	-2.649449e-001
5.531986332551113e-003	-2.779751e-001
5.532839069169153e-003	-2.825604e-001
5.533884844223311e-003	-2.850370e-001
5.535004924109371e-003	-2.948834e-001
5.536083257213037e-003	-3.064865e-001
5.537217124004902e-003	-3.127061e-001
5.538439612715458e-003	-3.187663e-001
5.539533632912155e-003	-3.291497e-001
5.540781385770994e-003	-3.397914e-001
5.541928146029778e-003	-3.455338e-001
5.543232043951611e-003	-3.547554e-001
5.544628117956696e-003	-3.670449e-001
5.547745743995507e-003	-3.874879e-001
5.551031639217339e-003	-4.118812e-001
5.562056877049735e-003	-4.896727e-001
5.573082114882131e-003	-5.643547e-001
5.584107352714527e-003	-6.359274e-001
5.595132590546923e-003	-7.043907e-001
5.606157828379319e-003	-7.697446e-001
5.617183066211715e-003	-8.319892e-001
5.628208304044110e-003	-8.911243e-001
5.640141527537944e-003	-9.492552e-001
5.653542564485621e-003	-1.007921e+000
5.669423820729132e-003	-1.067972e+000
5.688729748395813e-003	-1.126721e+000
5.709759339700204e-003	-1.171691e+000
5.735417958021383e-003	-1.200915e+000
5.756425657623814e-003	-1.203499e+000
5.775461920635803e-003	-1.186421e+000
5.796506861447001e-003	-1.147817e+000
5.816495927998383e-003	-1.091861e+000
5.842887898933349e-003	-9.922847e-001
5.867991227611829e-003	-8.733963e-001
5.897288102611829e-003	-7.076838e-001
5.926584977611830e-003	-5.195382e-001
5.955881852611830e-003	-3.142718e-001
5.985178727611830e-003	-1.021347e-001
5.998148678289844e-003	-2.283038e-002
6.004860455139718e-003	6.161931e-003
6.011232978840535e-003	4.911341e-002
6.014527644788265e-003	9.006759e-002
6.018145705814559e-003	1.352572e-001
6.021440452638316e-003	1.643072e-001
6.036575729651670e-003	2.785305e-001
6.046017801952376e-003	3.475203e-001
6.057663075274453e-003	4.302066e-001
6.076016379272901e-003	5.547162e-001
6.097907348269815e-003	6.922023e-001
6.127204223269816e-003	8.547988e-001
6.156501098269816e-003	9.892156e-001
6.185797973269816e-003	1.089494e+000
6.215094848269816e-003	1.156489e+000
6.233617903259687e-003	1.179737e+000
6.249408416351260e-003	1.185411e+000
6.264780118464306e-003	1.177595e+000
6.289053398354892e-003	1.140715e+000
6.318350273354892e-003	1.063051e+000
6.347647148354892e-003	9.505581e-001
6.376944023354893e-003	8.060127e-001
6.406240898354893e-003	6.342596e-001
6.435537773354893e-003	4.412428e-001
6.464834648354893e-003	2.353493e-001
6.487456923450029e-003	7.895808e-002
6.498901431170166e-003	1.592397e-002
6.505213586648264e-003	-1.556761e-002
6.507586592747547e-003	-5.741942e-002
6.508651387825601e-003	-1.029255e-001
6.509684172172997e-003	-1.434056e-001
6.510195774738636e-003	-1.375514e-001
6.510651308682025e-003	-1.148866e-001
6.511167240466422e-003	-9.273817e-002
6.511592945314249e-003	-8.773461e-002
6.512147099439127e-003	-1.008813e-001
6.512597340290353e-003	-1.230875e-001
6.513091904980440e-003	-1.488533e-001
6.513663603406401e-003	-1.650450e-001
6.514050764283370e-003	-1.618129e-001
6.514585982418362e-003	-1.456902e-001
6.515350790085417e-003	-1.288163e-001
6.515858242385621e-003	-1.318515e-001
6.516404172891086e-003	-1.503304e-001
6.516993756707949e-003	-1.737173e-001
